POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
7976,33.612904,-117.620316,3047,197,5.3,2.89,2.7,71.5,103916,124287,86,26.3,484400
5288,33.637233,-117.594405,2333,141,3.9,2.9,2.03,37.9,79659,85542,90,11.1,471100
3884,33.644932,-117.583231,1391,86,4.4,3.28,2.59,55.9,79229,93519,10.3,12.6,446900
7072,33.593493,-117.618297,2513,151,6.3,3.5,1.87,75.5,123182,142738,95.7,48.3,631200
7218,33.5661,-117.638734,2408,57,6.9,3.38,2.48,73.5,144438,148833,98,49.9,781900
7312,33.543334,-117.645873,1783,112,6.1,3.4,2.94,75,130625,156113,98.5,29.9,627600
7975,33.551385,-117.636881,2590,94,6.6,3.19,3.28,89.3,142754,161310,96.2,40.7,643300
7418,33.413277,-117.60771,3351,489,5.2,2.49,2.24,59.4,93077,139680,11.7,18.4,971900
1377,33.444751,-117.640199,732,187,5.3,2.3,1.9,87,84475,92219,2.5,24.4,659600
4254,33.430638,-117.621019,1523,127,4.2,2.21,2.92,34.2,56142,69351,7.6,4.8,781300
5697,33.425884,-117.62105,3234,656,4.1,2.22,2.13,25.2,73953,107623,8.1,7.1,769800
4865,33.443151,-117.597275,2154,178,5.3,2.66,2.35,62.9,86442,127242,41.1,28.8,752700
5994,33.465517,-117.629698,2178,99,7.2,2.98,3.21,90.9,118527,146823,33.4,61.2,821800
6858,33.455887,-117.619931,2275,131,7.1,3.12,2.68,86.8,135682,152911,60,52.7,834000
4364,33.428699,-117.606224,2147,135,6.3,2.48,2.92,75.1,72303,107498,8.7,34.9,817000
3718,33.41152,-117.593868,1722,128,5.2,2.33,3.05,58.8,73548,96427,13.3,19.9,851200
5639,33.461577,-117.667639,2749,319,5.1,2.4,2.65,62.4,64048,112743,8.3,10.6,693500
7015,33.486608,-117.650267,3043,144,6.7,2.47,2.5,78.5,90114,126859,28.3,38.3,704200
6780,33.466056,-117.646984,2513,166,5.6,2.51,2.56,78.7,85885,101682,22.6,32.2,707200
3287,33.451541,-117.652342,1496,120,5.6,2.08,1.96,69.4,79569,103830,13.3,13.7,548900
6900,33.598084,-117.692747,2317,42,6.7,2.84,3.2,73.3,76946,100646,0.7,46.3,597400
8391,33.4866,-117.675716,3303,240,5,2.71,3.26,76,71546,85347,11,16.4,422600
5996,33.488005,-117.683504,2320,42,6.5,2.44,2.81,84.2,109934,144674,14.2,41.9,733800
9085,33.509368,-117.664381,2318,142,4.7,3.5,4.49,56.3,54067,72043,23.6,10.1,428100
6471,33.469212,-117.698008,3224,262,4.3,1.99,2.22,35.4,69330,86980,4.4,3.9,770900
5900,33.538853,-117.682616,2376,140,6.2,2.64,2.85,85.1,106368,126260,11.4,38.1,667600
3334,33.538947,-117.708463,1152,20,7.6,2.72,4.33,92.1,120139,148888,14.8,63.2,833200
5665,33.576669,-117.70816,2660,212,3.8,2.29,2.13,52.8,65596,86186,10.3,4.6,335800
4512,33.476147,-117.71237,2692,474,5.5,2.14,1.97,61.4,82043,132088,15.6,15,944700
4241,33.500734,-117.726534,2399,350,5.7,1.95,2.45,68.3,81947,132919,19.1,19.4,922500
3375,33.524599,-117.723529,1540,82,5.8,2.27,2.33,61.3,119038,158530,35.4,26.8,917800
4608,33.534594,-117.718917,1837,122,5.8,2.69,2.66,74.7,81094,104897,27.8,32.8,622500
4814,33.587152,-117.693171,1754,32,7,2.84,3.34,86.6,107308,143565,4.7,55.1,656300
3772,33.532652,-117.696051,1483,40,6.3,2.62,2.88,86.3,102560,125764,8.8,42.6,707900
6378,33.526046,-117.693429,2201,110,5.3,2.91,3.31,49.8,81830,104087,18.6,21.5,673300
5215,33.517216,-117.693932,2113,136,5.3,2.72,2.07,72.2,82168,114305,41.8,37,730800
5399,33.49781,-117.703088,2272,302,6.6,2.47,3.36,80.8,122917,164141,42.9,40.4,887400
5300,33.56206,-117.704721,2265,107,4.5,2.38,2.82,69.2,68300,83392,26.7,13.8,539200
5829,33.557394,-117.694574,2365,115,4.7,2.4,2.38,65.6,92292,126363,52.2,26,499500
4430,33.546664,-117.696859,1591,33,6.9,2.92,3.16,88.6,117361,145758,26,55.9,691000
3639,33.504472,-117.686561,1405,53,6.7,2.97,1.77,83.4,128871,189625,36.9,43.8,879700
4580,33.484524,-117.703771,2061,165,6,2.57,2.32,69.9,99712,114521,23.1,31.3,766300
3208,33.48037,-117.696753,1559,225,5.5,2.41,2.32,56.4,91516,122331,13.6,13.7,769900
549,33.662012,-117.699531,116,48,5.7,2.27,3.2,92.6,120882,136647,65.5,19.8,622600
6154,33.646674,-117.70112,2242,0,7.1,2.79,3.2,89.5,121711,140070,0.6,52.5,629700
5403,33.631235,-117.710125,2137,113,5.1,2.5,2.65,67.1,64441,84421,13,21.3,449500
5182,33.624288,-117.703181,1391,72,6,3.04,4.6,79,78191,109727,1.6,36.4,536800
