POPULATION,LATITUDE,LONGITUDE,Total_units,Vacant_units,Median_rooms,Mean_household_size_owners,Mean_household_size_renters,Owners,Median_household_income,Mean_household_income,Built_1990_or_later,Bedrooms_4_or_more,Median_Value
1974,37.848292,-122.249525,929,37,6,2.53,1.81,66,111667,195229,1.2,18.7,909600
4865,37.840265,-122.254416,2655,134,4.6,2.45,1.66,45.1,66094,105877,2.3,10.6,748700
3703,37.848451,-122.25731,1911,68,5,2.04,2.19,45,87306,106248,1.5,11.5,773600
3517,37.848941,-122.264742,1703,71,4.5,2.66,1.72,43.6,62386,74604,1.3,7.5,579200
1571,37.842226,-122.264926,781,65,4.8,2.58,2.18,51,55658,73933,1.2,5.4,480800
4206,37.841719,-122.27215,1977,236,4.3,2.72,2.15,32.2,38646,56705,2.4,9.6,460800
3594,37.845393,-122.283126,1738,257,4.3,2.17,1.93,28.3,52837,66822,18.8,3.5,473500
2302,37.839285,-122.280316,1202,80,4.4,2.7,1.92,31.7,59091,59690,2.8,8,439300
5678,37.831263,-122.272163,2665,500,4.6,2.75,2.08,35.1,40402,50056,2.2,3.9,369800
4156,37.829959,-122.263403,2182,148,3.5,2.3,1.96,16.8,44140,56674,3.2,4.5,467200
2416,37.830988,-122.258039,1372,33,4.3,2.02,1.61,41.7,59554,81476,2.8,3.3,591200
3528,37.8165,-122.26787,1908,227,3,1.45,1.97,12.5,31080,45789,17.5,2,352400
4314,37.819904,-122.273309,1870,432,3.9,2.15,2.6,18.1,30777,38234,4.3,8.9,322700
2630,37.823505,-122.28048,1254,382,3.9,2.09,1.86,40.4,27183,47209,11.4,3,353700
2163,37.81667,-122.279621,947,173,4.1,3.47,2.17,18,37679,47593,32,7.9,321600
2667,37.817286,-122.293793,1025,167,4.1,2.51,3.1,44.4,62895,79060,49.5,5.2,377800
1703,37.809593,-122.298293,854,277,4.6,3.28,2.53,15.1,30370,38382,16.1,13.5,334100
2385,37.807292,-122.295186,1020,158,4.5,2.92,2.31,32,39286,52775,11.7,10.6,374200
2351,37.811419,-122.28219,1210,126,4.1,3.45,2.01,14.9,20874,29672,5,16.5,330900
1784,37.804984,-122.285183,846,79,4.3,2.21,2.72,23.5,21571,36145,16.9,10.2,285500
1151,37.804782,-122.279657,628,71,3,2.2,1.44,23.2,22531,45619,29.6,9.1,356000
1569,37.810251,-122.277443,796,131,4,2.25,2.24,37.3,35080,48131,9.2,12.1,347600
3345,37.808665,-122.272709,1716,211,2.5,1.71,1.35,9.6,21993,41640,25.6,5,324100
2788,37.800788,-122.270661,1597,375,3,1.54,1.91,21.6,17569,33976,24.8,4.7,369900
2238,37.801099,-122.276502,655,82,3,1.71,1.75,41.5,42625,56426,59.1,4.9,407100
4054,37.7956,-122.267839,2372,334,3.2,1.84,2.05,28.6,69605,74171,52.9,2.6,404000
4146,37.803458,-122.263683,3086,118,3,1.26,1.49,12.7,42358,61668,9.8,0,452300
4374,37.817316,-122.259876,2513,170,3.1,1.96,2.1,12.2,33635,51389,6.6,2.8,351700
1991,37.816035,-122.256743,1359,133,3.4,1.66,1.59,29.2,63199,71320,1,0,272600
4482,37.813421,-122.254114,2932,369,3.3,2.11,1.77,22.1,56303,73091,0.8,5.1,364200
2587,37.811375,-122.258315,2030,318,2.8,1.44,1.44,10.9,60278,68211,0.7,1.2,343600
1724,37.809381,-122.253441,1184,33,3.5,1.54,1.67,18.9,66761,76234,0,0,377900
3461,37.814476,-122.242249,2033,139,4.2,2.37,1.7,33,78036,107081,3.6,12.6,720200
3584,37.817368,-122.249127,2374,122,3.7,1.92,1.58,33,61995,85867,3.6,4.8,426900
2819,37.822454,-122.25253,1835,133,3.5,1.53,1.54,23.1,61632,71972,4.5,4.4,429800
2929,37.830348,-122.250622,1892,207,3.6,1.98,1.56,39.8,73899,94146,3.8,3.3,682200
2283,37.825832,-122.251044,1773,174,3.3,1.81,1.43,10.8,50684,67765,1.7,4,579700
3483,37.837583,-122.229689,1457,64,7.2,2.48,1.86,80.8,152853,198644,19.1,35.4,918900
5314,37.844684,-122.2158,2433,233,6,2.47,1.93,84.5,133347,165338,50.5,28.2,857400
5784,37.834622,-122.202426,2606,134,6.4,2.32,2.74,83.3,125714,152845,10.2,32.2,832000
4353,37.824214,-122.192737,1907,91,7,2.48,1.7,96.5,147778,189849,11.8,44.4,836000
1954,37.812155,-122.207488,842,47,7.4,2.56,2.6,83.5,137232,138297,1.9,29.8,770800
2684,37.804704,-122.213272,1337,51,4.6,2.51,1.42,57.7,88833,88446,0,7.5,648900
4129,37.80394,-122.221525,2032,56,5.1,2.23,2.3,60,65158,94377,0,9.6,599400
3136,37.808241,-122.225708,1663,231,5.8,2.62,1.67,63,108472,133830,0,19.8,721200
4197,37.811496,-122.232389,1669,101,7.5,2.8,1.83,91.1,166554,212536,3.5,33.5,890700
4597,37.805121,-122.244707,2660,287,4.2,2.73,1.64,23.8,59332,72401,0.4,10.2,569700
2603,37.802213,-122.25137,1680,63,3.5,1.51,1.65,11.9,61750,73818,3.4,3.6,438000
2530,37.798371,-122.254529,1623,98,2.7,2.22,1.75,3.9,20787,34790,0.2,0.2,528800
3957,37.796502,-122.249274,1815,259,3.3,3.38,2.23,18.3,27360,41809,0.8,7.8,325000
3114,37.793393,-122.245787,1284,188,3.4,2.33,2.21,21.2,30534,42939,0,3.3,320400
3643,37.798377,-122.243251,1745,181,4,3.3,2.03,22.4,41550,56051,4,8.3,423200
3137,37.800774,-122.237766,1539,142,3.8,3.24,1.88,24.1,41820,53145,3.7,10,462300
3243,37.797944,-122.229405,1530,322,3.7,3.23,2.07,29.6,43750,55855,0,4.4,394000
3965,37.793907,-122.233227,1433,135,4.8,3.06,3.05,42.1,38472,48021,3.9,12.8,353300
3910,37.787735,-122.236032,1169,169,4.3,4.2,3.28,21.6,38879,44860,2.2,5.7,571700
3035,37.79099,-122.241014,1054,24,4.5,3.17,3.23,35.8,38523,43573,9.5,5,332800
3450,37.792134,-122.252325,1589,175,3.2,3.93,2.2,7.9,24922,45824,7.3,4.8,402100
4381,37.775082,-122.229059,1606,241,4.4,2.84,2.73,28.1,52917,59223,42.3,7.4,348900
4649,37.784942,-122.23063,1607,226,4,3.69,3.76,15.5,29727,43231,9.9,7.9,416300
4718,37.782006,-122.226739,1389,192,3.6,2.99,3.42,13.9,25417,40365,16.1,6,381400
4113,37.789134,-122.225086,1368,169,4.5,3.68,3.26,42.3,37731,48206,3.4,21.2,304900
2145,37.794392,-122.22175,803,46,4.4,3.33,2.29,44.3,48694,56143,6.9,1.7,405100
5930,37.788388,-122.217093,2059,365,4.4,3.82,2.91,39.3,34669,53048,9.1,10.4,342100
4596,37.793538,-122.208333,1914,110,4.2,2.6,2.58,37.9,49357,53550,4.7,1.3,384900
2493,37.795766,-122.214744,1003,121,4.4,2.8,2.37,43.3,50793,64401,7.1,13.3,351000
5048,37.802231,-122.20407,2363,221,5.2,2.5,1.9,69.3,94565,108294,10.4,7.2,540000
3428,37.796987,-122.195694,1505,133,5,2.59,2.55,67.7,72568,86191,0,13.1,524900
3719,37.792556,-122.191739,1626,100,5.2,2.51,2.58,61,77097,110022,5.4,19.3,556500
5885,37.787523,-122.203288,2350,341,4.3,3.15,2.75,41.6,37851,52790,3.7,9.7,306800
3414,37.783072,-122.214771,1126,120,4.1,3.3,3.83,25.1,29432,47516,12,7.4,352300
4351,37.781064,-122.210336,1403,189,4.6,3.66,2.92,52.9,42857,49629,4.3,4.5,361500
6746,37.778084,-122.219368,1916,242,3.8,3.26,3.53,25.3,36667,47252,6.3,9.1,480400
2598,37.766422,-122.208745,794,51,4.8,4.32,3.4,34.1,43224,56806,1.5,14.5,202000
3954,37.770995,-122.206895,1196,78,4.6,3.83,3.54,33.6,36552,53311,4.4,6.8,293500
3931,37.769421,-122.197642,1432,200,4.3,2.87,2.53,22,26848,35926,13.7,12.7,392600
6027,37.77719,-122.203607,2386,233,4.8,2.9,2.96,48.4,47388,58782,4.3,12.8,416200
4109,37.776356,-122.193265,1913,176,5.7,2.48,2.1,80.7,69637,82043,1.4,7.2,425800
2425,37.782023,-122.189557,816,117,5.4,2.51,3.94,80,60469,71105,4.7,14,413900
2706,37.788232,-122.186216,1257,196,5.2,2.61,1.99,80.9,90408,101662,3.6,15.5,528600
2671,37.802069,-122.181962,1050,68,6.6,2.29,2.97,86.3,115729,134553,20.8,26.6,717600
5991,37.78272,-122.15649,2769,261,6.1,2.34,2.12,80.8,108468,139518,14,30.1,686700
4054,37.774619,-122.176128,1947,284,4.5,2.19,2.45,50,50186,61334,1.1,6.2,399300
4167,37.770292,-122.164941,1941,140,5.3,2.7,2.83,69.1,52075,69759,3.7,11.9,391700
3323,37.764837,-122.17107,1413,290,4.9,3.09,3.25,50.9,35781,48911,5.6,4.6,264600
4972,37.760259,-122.178894,1768,248,4.8,3.54,3.28,51.3,36429,43402,2.9,7,333400
5492,37.764969,-122.183777,1971,286,4.9,3.54,3.2,44.9,33539,47571,20.5,11.6,280000
7207,37.768332,-122.18978,2616,542,4.7,2.93,3.19,46.8,40680,46500,10.2,2.5,317400
5547,37.759438,-122.196713,1899,207,4.4,3.97,2.9,27.4,22587,32622,24.8,4.6,347300
3414,37.755682,-122.186029,1117,131,4.2,3.92,2.75,33.5,21216,29070,16.2,7.9,222500
3552,37.734916,-122.188832,1117,67,5.1,3.22,3.94,43.2,35357,45816,9.3,15.1,275000
2255,37.732071,-122.183268,704,54,4.9,3.8,3.71,66,59655,68738,12.8,14.5,268400
3152,37.729406,-122.178207,980,115,4.7,3.42,3.21,63.4,40766,45616,15.6,6,283100
5229,37.738359,-122.172261,1663,125,4.5,4.02,3.3,38,33934,46437,18.6,7.7,329900
4306,37.745747,-122.176564,1247,200,4.7,4.89,3.81,45.3,49083,56453,5,6.8,307900
3122,37.751321,-122.180804,1034,174,4.8,3.99,4.05,33.7,34167,47780,9,11.9,348600
5063,37.753377,-122.172472,1674,219,4.8,4,3.7,36.4,41778,51337,5.8,13.3,354400
4696,37.75562,-122.165716,1792,294,4.4,3.71,2.78,32.6,35658,43381,5.6,2.6,264900
2887,37.759356,-122.157665,1368,195,5.2,2.79,2.03,59.8,40189,64829,8.5,7.4,404200
3308,37.760102,-122.134933,1481,77,6.2,2.32,1.88,90.7,108214,119078,1.9,27.8,585800
2805,37.74341,-122.135552,1228,64,6.1,2.29,4.2,91.6,77000,92989,1.3,17.8,548700
2406,37.747626,-122.153917,1045,64,5.3,2.68,3.28,52,41250,59405,6.8,17.4,370400
3062,37.745759,-122.157499,1245,188,4.5,2.42,3.43,48,40474,51661,6.1,5.7,262500
3536,37.746755,-122.166517,1103,93,4.2,4.14,4.21,31.5,32829,43247,12.6,3.6,362200
3792,37.741093,-122.162165,1397,123,5.1,3.2,3.58,65.8,44746,69077,17.3,8.3,271400
2193,37.807099,-122.289823,1120,69,4.2,2.93,2.24,12.8,19351,28868,30.7,10.1,388700
2355,37.894631,-122.290916,949,31,5.9,2.48,2.94,72.3,117000,133285,0.8,18.8,704200
2898,37.894805,-122.297564,1270,43,4.6,2.75,2.15,41.5,73665,84058,1.6,9.6,661000
4571,37.892659,-122.303641,2143,165,4.4,2.18,2.32,55.9,70242,87488,6.3,5.5,520600
2308,37.886543,-122.295159,1027,145,4.6,2.6,2.35,37,65726,89174,3.1,6.4,639200
3283,37.886917,-122.287531,1311,100,5.5,2.5,2.52,72.3,107455,111933,1.8,13.7,714100
1992,37.899169,-122.266302,891,22,6.5,2.44,3.92,94.1,168750,200929,5.5,32.4,884500
3563,37.897263,-122.274705,1538,82,7.4,2.61,1.43,92.1,157500,186191,1.9,49.5,999700
3844,37.891135,-122.28171,1751,107,6.2,2.48,2.06,82.4,116200,154589,1.3,25.8,871600
1593,37.888419,-122.270734,686,0,6.9,2.46,2.63,82.5,132258,175767,4.1,43.7,896700
3640,37.891531,-122.260296,1681,64,6.3,2.37,2.1,83.1,134875,176674,3,29.1,912600
3558,37.883504,-122.257426,1704,132,6,2.46,1.68,72.8,121111,141483,3,30.9,901300
3198,37.881464,-122.27027,1728,97,4.3,2.53,2.28,37.3,80491,99156,6.5,9,699100
2007,37.879992,-122.277817,960,80,5.8,2.35,2.36,69,82917,105929,6,20.9,694100
3632,37.879488,-122.289683,1857,238,4.7,2.31,2.01,64.3,91774,108201,0.6,7.3,652900
1756,37.866514,-122.297361,674,76,3.8,2.81,1.76,43.1,49773,72239,29.9,1,489400
2685,37.873165,-122.296631,1156,121,4.2,2.43,1.98,47,43771,54928,3.8,6.4,613600
3144,37.87252,-122.288105,1643,130,4.2,2.15,1.82,49,54083,87386,0,8.2,608800
3387,37.873995,-122.277501,1813,218,4.2,2.31,2.12,44.1,48776,71676,10.2,8.9,638800
4196,37.875219,-122.269324,2296,12,3.2,2.67,1.95,9.4,39083,60120,10.9,4.2,623000
4658,37.876904,-122.259915,1660,113,3.3,2.22,1.65,20.6,45875,77900,1.5,5.3,640300
4885,37.867659,-122.251235,1150,87,3.9,2.23,2.48,17.3,35352,59007,7.1,16.7,936400
8368,37.866717,-122.258913,1484,106,2.9,3.33,1.97,0.2,25145,28492,6.4,7.5,350000
4396,37.867025,-122.277077,2177,67,4.4,2.73,2.1,44.6,75030,89394,6.6,6.2,576200
3964,37.866041,-122.285919,2006,201,4,2.67,1.83,37.6,48956,63703,5.3,6.9,587000
2794,37.864428,-122.293691,1188,115,4.5,3.14,2.33,38.4,48906,67469,1.9,11.1,498700
3647,37.857371,-122.283915,1693,159,4.8,2.86,1.94,56.6,53587,69354,2.4,6.3,541800
4685,37.858202,-122.275892,2243,222,4.2,2.46,1.96,38.1,38860,64697,3.2,11.2,554000
3118,37.859124,-122.267924,1438,105,4.6,2.72,2.21,37.1,70863,76083,4.7,21.1,655900
2642,37.858887,-122.258515,1324,79,4.2,2.36,1.91,35.7,67865,87870,0.8,10.9,619400
5659,37.863529,-122.258796,2604,157,3.5,2.32,2.38,15.1,35589,52798,7.7,8.1,583300
3633,37.862379,-122.250259,1419,216,4.5,2.56,1.88,40.1,57875,105233,2.5,29.6,972900
2020,37.852678,-122.266679,880,75,4.7,2.78,1.75,45.2,52962,69854,8.8,5,402000
1552,37.854428,-122.257223,812,47,4.4,2.31,1.74,32.4,76528,104487,0,15.8,860200
3716,37.850293,-122.27484,1614,164,4.1,3.28,2.36,21.1,43810,54286,5.8,6.3,587500
2172,37.850348,-122.281464,1020,54,4.2,2.61,2.1,37.3,34565,50966,3.5,4.3,341200
1596,37.838229,-122.301937,1266,0,3.4,1.68,1.53,54.7,75778,102278,3.2,1.7,293200
2807,37.841394,-122.294966,1810,364,3.4,1.52,1.46,25.6,69352,94321,49.6,0,487500
2502,37.843845,-122.289329,1379,179,3.6,1.98,2.03,43.6,92174,109827,77.6,0,394800
3175,37.833049,-122.280897,1797,197,3.6,2.07,1.9,25.3,50682,59392,33,2,329900
3646,37.764448,-122.23133,1427,91,6.3,2.59,2.39,64.3,99000,117761,2.3,14.9,772900
4107,37.771896,-122.248665,1626,147,4.8,2.93,2.93,38.3,73482,86052,1.2,7.6,511700
4896,37.778193,-122.267919,2108,173,4.6,2.37,2.34,43.7,64390,95101,19,17.9,599600
4722,37.777977,-122.283671,1810,225,3.9,3.18,2.84,20.1,47460,56864,15,6.9,526000
4866,37.772383,-122.283805,2409,152,3.9,2.25,2.08,38.1,60291,72342,0.4,7,648800
4640,37.772007,-122.269339,2113,203,4.4,2.97,2.05,41.6,77287,98438,0,12.6,657600
4567,37.770244,-122.257843,2227,112,4.3,2.55,1.87,40.8,72366,99066,0,13.6,712900
2928,37.767344,-122.248509,1388,57,3.8,3.43,2.22,18,53565,65666,0.6,4.6,456600
4651,37.760085,-122.235134,2023,111,5.1,2.6,2.06,52.1,84342,97979,4.4,12.3,662900
6259,37.755936,-122.241445,2616,111,5.4,2.81,2.37,59.9,90996,104798,0.6,13.9,646000
6526,37.732329,-122.239647,2491,161,5.6,2.58,2.98,83.9,93000,105245,14.2,15.3,577200
7074,37.742265,-122.248442,2670,125,6.3,2.74,2.69,87.6,132354,152379,17.6,42.6,762000
4357,37.761732,-122.250698,2015,183,4.2,2.54,2.24,33.5,54455,70596,0,5.9,571100
3183,37.760371,-122.258967,1534,101,4,2.16,2.4,33.6,64784,81277,3.5,10.7,601300
3271,37.764047,-122.269128,1575,168,3.8,2.08,2.15,51.4,75039,82951,3,15.6,431300
4119,37.784171,-122.294078,1490,315,5.4,3.24,2.6,40.3,67321,102160,70.6,33.5,839100
6523,37.712241,-122.031666,2278,22,6.7,2.93,3.22,88.2,126532,147834,55.9,49.6,697200
2285,37.720897,-122.049457,910,20,6.9,2.51,2.01,90.8,127344,137432,3.5,61,684500
6916,37.714765,-122.064495,2398,98,6.6,2.81,2.92,93.3,100577,116303,6,34.7,637400
3670,37.715635,-122.081571,1337,56,6.7,2.68,4.31,85,100156,128783,9.9,42.8,642000
2046,37.715623,-122.09421,756,0,6.6,2.69,2.92,89.9,113333,135521,5.1,41.6,618900
6049,37.701711,-122.105916,2134,206,5.1,2.66,2.67,62.2,65750,79627,5.7,10.3,545500
5887,37.703598,-122.096691,2187,57,6.3,2.82,2.14,88.4,86250,113495,18.4,40.8,587300
3814,37.706165,-122.082551,1380,91,5.8,2.85,2.36,74.9,101090,104916,6.8,23.1,583100
5394,37.699006,-122.065672,2179,127,5.5,2.72,2.25,74.6,78015,86983,9.1,13.5,490900
4681,37.698365,-122.083533,1866,52,4.1,2.31,2.42,18.4,51650,65844,5.7,1.7,443100
2714,37.693136,-122.078141,1169,47,3.9,2.28,2.8,31.4,56181,64661,13,0.6,387300
3225,37.688063,-122.066213,1373,72,4.5,2.46,2.21,34,54926,74465,9.5,2.3,418900
5627,37.685328,-122.082131,2675,198,4.4,2.15,2.09,46.5,46744,66106,11.6,5.4,376600
3770,37.7361,-122.147254,1408,68,5.6,2.84,2.3,82.4,93220,100372,1.4,8.1,464000
4080,37.732142,-122.156416,1671,155,4.7,2.47,2.04,46.8,57400,75951,9.8,6.1,479900
4656,37.731435,-122.1668,1658,173,5.1,3.17,2.04,67.1,73906,87203,23.6,15.9,453300
5814,37.707114,-122.182202,1806,95,5.1,3.44,3.46,45.1,58807,69723,2.7,12.6,417900
4839,37.717452,-122.166407,1456,14,4.9,3.11,3.78,59.9,54113,69996,3.9,10.5,451700
4485,37.724403,-122.171991,1450,0,4.8,4.22,3.13,54.2,72045,81636,17.9,13.2,427900
6842,37.722579,-122.153333,2865,122,4,2.2,2.23,27.2,43916,52580,5.6,2.2,348900
2478,37.726866,-122.142899,1010,92,6.1,2.5,2.26,75.1,81613,97866,1.3,13.9,509000
3729,37.720547,-122.129449,1439,84,6.2,2.19,2.75,77.7,92550,103687,1.3,21.4,613700
3832,37.715228,-122.135031,1397,172,5.4,2.6,3.5,81.1,71271,82010,0,10,399100
3989,37.701242,-122.133506,1338,52,5,3.14,3.11,59.9,70000,82716,4.4,19.5,419900
3530,37.709804,-122.137937,1513,10,3.3,2.88,2.63,13.5,43078,45186,8.8,2.2,453000
3760,37.715707,-122.146249,1776,123,3.5,1.63,2.18,35.9,54772,70893,10.5,2.5,332100
6897,37.697187,-122.140737,2663,123,4.2,3.4,2.41,41.3,56517,67325,7.8,9.9,428400
6834,37.696161,-122.154876,2125,28,5.7,3.26,2.95,80.2,67017,80571,4.5,21.8,438900
6305,37.687374,-122.168735,2276,21,5.6,2.61,4.3,80.7,76473,82137,33.2,33.3,419200
4352,37.684411,-122.154919,1378,39,5.4,3.29,3.3,84.8,70625,84298,1.9,17.3,431300
5978,37.685659,-122.144993,2065,62,4.8,2.85,2.71,53.2,53937,67468,8.4,6.7,393700
3182,37.687061,-122.113763,1071,75,4.2,3.24,3.17,37.8,58351,64528,8,5.1,332300
7369,37.699054,-122.122708,2540,73,4.9,3.19,3.05,48.5,52330,66993,10.1,5.4,359600
6599,37.69849,-122.112872,2357,281,4,2.67,3.15,31.3,44106,50639,9.9,4.2,281300
4884,37.692714,-122.110802,1815,199,4.3,3.3,2.85,31.9,39567,56441,13.8,6.1,305600
5179,37.655166,-122.044197,1569,63,6.1,2.76,2.25,79.8,107625,110460,34,38.4,598300
6403,37.672746,-122.030251,2107,43,7.5,3.13,2.34,88.7,136000,155885,69.6,65.4,758500
5216,37.632281,-122.048879,2102,269,4,2.99,2.76,28.8,55975,67402,25.5,8.4,434700
4140,37.68501,-122.051839,1459,76,6.2,3.07,2.76,75.4,81659,90913,13.4,38.8,508400
4479,37.68099,-122.065219,1770,164,4.2,3.2,2.55,37.9,52444,58380,15.4,12.5,436900
4503,37.673716,-122.082822,2135,328,3.7,2.31,2.01,30.7,48873,64247,25.1,3.1,315400
3725,37.680417,-122.092731,1487,242,4,3.88,1.98,31.8,45241,53805,4,3.4,335600
4902,37.674612,-122.102084,1649,67,4.1,3.42,3.05,30.3,47630,57673,20.7,2.7,321800
5329,37.681524,-122.106711,1652,204,4.3,3.9,3.15,38.3,62609,67523,24.2,9.4,451300
4594,37.680214,-122.117376,1535,128,5.1,2.98,3.32,70.6,72688,79366,6.2,10.1,361500
5382,37.679065,-122.129811,1646,46,5.7,3.33,3.91,77.1,75309,79121,10.5,18.7,387000
5073,37.674658,-122.144092,1666,0,5.8,2.95,4.4,83.6,68882,81325,3.5,19.5,436000
4557,37.668865,-122.136954,1446,59,5.8,3.29,3.74,78.7,74228,79464,1.5,8.6,397700
5261,37.672135,-122.123032,1782,0,5.1,3.41,2.28,54.7,63438,67693,9.6,7.8,383600
3827,37.668488,-122.112151,1238,51,4,2.55,3.25,17.5,41417,46830,26.8,3.2,407700
7129,37.667098,-122.090944,2177,135,4.3,3.28,3.3,31.1,53776,64589,29.1,3.6,371800
7042,37.671564,-122.06618,3141,404,4.9,2.79,2.7,54.4,70655,90185,5.7,11,403000
2618,37.666646,-122.043477,1065,51,7,2.79,4.47,95.6,122778,145725,7.9,58.3,649500
4583,37.659356,-122.070903,1806,125,3.8,3.22,2.41,25.8,51523,62266,6.3,3.9,397800
6091,37.656859,-122.078889,1940,101,4.6,3.64,3.42,39.8,49105,55274,4.1,3.4,317100
4571,37.651302,-122.084816,1697,80,3.9,4.73,2.42,27.4,52854,59693,17.9,15.1,404600
3284,37.662083,-122.100425,1065,48,4.6,3.41,3.31,56.7,60542,66046,21.9,2.6,290400
4027,37.653836,-122.093603,1391,88,5,3.24,2.95,49.9,71586,79895,13.4,15,383300
6724,37.661497,-122.109848,1933,167,4.7,3.56,3.66,42.8,51549,63200,3.9,14.5,373000
3473,37.645359,-122.100411,1272,161,5,2.42,2.67,75.6,68092,80765,8.1,6.4,356100
6448,37.621268,-122.103768,1902,108,5.7,3.21,4.63,95.5,92849,108787,33,39.4,453100
4251,37.628586,-122.09914,1465,0,4.7,3.92,2.73,55.4,65493,71132,11.5,7.6,321700
6755,37.642646,-122.11198,2338,209,5,2.9,2.94,60.1,60631,72857,27.6,19,403800
3111,37.635997,-122.093488,890,33,5.2,4.06,3.09,52.9,53068,73938,4.7,11.5,367200
3408,37.642549,-122.087027,943,77,5.8,3.91,4.19,75.1,69375,85680,0,15.1,367900
4528,37.643779,-122.080105,1198,64,4.2,3.42,3.72,26.8,47361,50333,8.2,0,364800
3217,37.63569,-122.080097,935,29,5,3.68,4,56.6,61865,67921,3.5,7.2,438400
3649,37.634584,-122.06982,1103,154,4.2,4.11,3.84,22.9,49196,60466,5.9,4,364300
4256,37.638237,-122.073291,1140,160,4,3.25,4.87,8.6,36392,43018,1.8,1.7,353200
4621,37.643431,-122.068669,1414,140,5.5,3.24,3.9,76.6,77738,90286,20.2,28.7,371400
2338,37.641772,-122.060147,722,36,4.2,4.56,2.92,37.8,49135,58548,12.3,0.8,415200
3283,37.617845,-122.029865,1118,127,5.3,2.7,2.77,68.9,69258,89050,2.1,13.8,466900
7675,37.616828,-122.037345,2177,39,5.4,3.55,3.63,80.6,85776,96116,22.9,26.6,374800
4540,37.626305,-122.076544,1235,110,5.5,4,3.67,82.3,61314,72189,14.5,11.2,262900
3920,37.625168,-122.068104,1330,50,5.5,3.42,2.95,81.7,74924,90454,38.8,31.7,421500
5368,37.627421,-122.059399,1892,124,5.1,3.16,4.21,88.9,66111,77618,20.1,13.6,165300
3731,37.628139,-122.088435,952,60,5.2,3.89,5.74,78.3,75984,86715,0.6,8.3,350800
2331,37.621384,-122.083168,735,11,5.4,2.79,5.03,89.5,73375,78808,8.8,25.7,326700
2310,37.595947,-122.001607,888,110,4.5,3.11,2.42,54.9,73100,79312,11.4,24.7,359300
5989,37.600154,-122.022415,1521,58,5.2,3.65,3.91,50.1,50232,58441,11.3,17.1,427400
7312,37.602857,-122.047828,2286,175,5.7,3.22,3.36,72.1,66408,77295,21.8,26.5,529300
4674,37.587489,-122.077232,1390,111,5.7,3.73,3.44,65.8,91696,97069,2.2,34.5,477100
3883,37.577352,-122.074549,1083,41,6.2,3.38,5.16,76.3,93333,105355,6.4,50.5,517700
3841,37.584964,-122.068313,1113,129,5.5,3.93,3.8,79.5,86818,100871,7.5,26.8,390000
4219,37.591379,-122.048874,1716,148,5.2,2.61,2.59,72.4,58462,80089,4.3,14.6,356500
5883,37.589678,-122.02769,2111,151,5.2,3.39,2.51,58.4,68377,80952,23.6,19.1,504600
3205,37.594544,-122.078574,969,136,4.8,3.81,3.8,47.5,73713,82358,22,22.6,504500
3310,37.583797,-122.083299,919,35,7.3,3.72,4.14,87.4,163125,164506,92.1,73.5,763600
2839,37.60236,-122.073504,892,94,6.6,3.24,3.92,82.1,114500,110996,41.1,52.8,629700
4016,37.593398,-122.065065,1149,54,6.4,4.06,4.31,88.6,99761,100812,0,49.8,504200
6496,37.590663,-122.012223,1919,97,5.9,3.5,2.08,72.1,127231,134323,88.8,49.5,661800
4459,37.582281,-122.018969,1560,66,5.1,3.09,3.32,59.6,71000,76585,4.9,17.9,472800
4308,37.577586,-121.968635,1696,165,6,3.11,1.8,73.9,101597,110619,14.6,32.8,636100
6816,37.579125,-121.991678,2656,212,5.5,3.08,2.53,62.4,91491,105623,19.5,25.2,640000
3179,37.569161,-122.004813,1232,106,4.8,3.27,2.23,54.4,116768,139456,20,31.7,722400
5553,37.569256,-122.019216,1913,151,6.1,3.15,2.6,70.7,100417,109108,1.7,38.3,612700
6931,37.573508,-122.037398,2481,101,5.2,2.78,2.37,70.8,78750,96694,10.5,25,561500
5233,37.582266,-122.040375,1762,123,6.1,3.16,2.83,79.2,94375,119859,13.7,51.2,661400
6068,37.573427,-122.067647,1828,41,6.7,3.62,3.96,86.2,123750,127562,15.1,59.6,628300
5389,37.520638,-121.999414,1738,109,5.8,2.95,2.32,82.3,129083,138492,65.2,25.3,616200
5869,37.572116,-122.051936,1882,60,6.2,3.22,3.72,79.4,118125,121436,5.2,47.9,617600
4980,37.584831,-122.057448,1507,12,6.1,3.34,3.97,78.7,89036,107825,4.8,39.7,575300
4077,37.564604,-122.046985,1436,0,4.4,2.52,2.81,56.1,115246,109974,6.8,13,536600
4010,37.562519,-122.054408,1387,35,5.2,3.14,2.83,57,135600,130851,27.5,28.4,656800
4561,37.563324,-122.029849,1490,47,6,3.21,3.71,75.3,85243,95682,7,28.8,543000
6802,37.557474,-122.02165,2373,149,5.1,3.24,3.14,59.4,81538,91481,7.3,18.2,456200
7436,37.553768,-122.011264,2782,355,4.4,2.78,2.68,66.5,72909,94466,25.8,7,429200
6786,37.559156,-121.99258,2449,52,5,2.85,2.95,61.9,77875,95096,5.5,21,554700
3663,37.542458,-121.968864,1329,124,4.5,3.98,2.84,28.4,95775,102750,48.7,12.3,462700
5605,37.552176,-121.988007,2216,387,3.2,2.06,2.44,7.1,64583,75410,10.8,1.2,373300
7301,37.564127,-121.97296,2638,297,4.6,2.43,2.87,57.1,102708,118551,23.8,16,528800
